cell_id,lon,lat,LST_celsius,NDVI,albedo,builtup,esa_landcover,osm_road_density,osm_bldg_coverage,osm_green_coverage,humidity,wind_speed,air_temp_max,air_temp_min,pop_density,road_density,dist_to_water,wind_obstruction,bldg_height_idx,impervious_pct,heat_load_idx,neighborhood
72.9600_19.0100,72.96251484911372,19.012393830747612,28.558588550000024,-0.1,0.11615204999999999,0,80,0.0,0.0,0.0,73.5,23.4,32.9,25.8,0.0,0.0,1931.1902629218293,0.22000000000000008,0.0,1.0,0.8072073743180973,Chembur
72.9600_19.0150,72.96251484911372,19.017783722452332,28.69872737000003,-0.1,0.1253725,0,80,0.0,0.0,0.0,66.5,23.6,34.2,24.4,0.0,0.0,3963.561411343862,0.21333333333333326,0.0,1.0,0.7695977011200972,Powai
72.9600_19.0200,72.96251484911372,19.022275298872927,29.189213240000043,-0.09906360507011414,0.10454145000000001,0,80,0.0,0.0,0.0,67.9,23.1,32.8,23.4,0.0,0.0,844.5890954319867,0.22999999999999998,0.0,1.0,0.7234606896663788,Powai
72.9600_19.0250,72.96251484911372,19.027665190577647,29.387458400000043,-0.1,0.08165485,0,80,0.0,0.0,0.0,62.4,25.5,35.4,25.2,0.0,0.0,190.28600833399346,0.15000000000000002,0.0,1.0,0.7953702232661378,Powai
72.9600_19.0300,72.96251484911372,19.03215676699824,30.31545083000003,-0.08280913531780243,0.09361685,0,80,0.0,0.0,0.0,60.5,25.0,32.8,24.7,0.0,0.0,1077.3677367004268,0.16666666666666663,0.0,1.0,0.8,Powai
72.9600_19.0350,72.96251484911372,19.03754665870296,31.624552490000042,-0.04318327456712723,0.114953,0,80,0.0,0.0,0.0,68.3,23.4,35.3,23.4,0.0,0.0,643.4811951516025,0.22000000000000008,0.0,1.0,0.8076155614273011,Powai
72.9600_19.0400,72.96251484911372,19.042936550407678,31.306676630000027,0.4575933814048767,0.10914045000000001,0,80,0.0,0.0,0.0,64.6,23.0,36.5,25.1,0.0,0.0,704.5853211484576,0.23333333333333328,0.0,0.5165315498233786,0.20661261992935143,Powai
72.9600_19.0450,72.96251484911372,19.047428126828276,31.469032580000004,0.5642334222793579,0.11377005000000001,0,95,0.0,0.0,0.0,66.4,24.9,33.8,25.0,0.0,0.0,1456.6377208145473,0.17000000000000004,0.0,0.4611176949949039,0.19087290741310933,Powai
72.9600_19.0500,72.96251484911372,19.052818018532992,31.37674604000003,-0.03426321968436241,0.10409695,0,95,0.0,0.0,0.0,73.0,26.1,34.0,26.3,0.0,0.0,1902.596935233374,0.13,0.0,1.0,0.7287981574762878,Powai
72.9600_19.0550,72.96251484911372,19.05730959495359,32.61577829000004,-0.0532379224896431,0.09895034999999999,0,80,0.0,0.0007,0.0,61.7,23.9,35.8,24.9,0.0,0.0,175.81837097902562,0.20333333333333337,0.0007,1.0,0.7862015226492104,Powai
